グループ,関数名,役割
A,add_graph_to_graph,グラフをEMFオブジェクトとしてレイアウトページに貼り付け
A,add_table_to_graph,グラフまたはレイアウトにリンクテーブルを追加
A,add_wks_to_graph,ワークシートをレイアウトページに貼り付け
A,add_xyscale_obj,グラフレイヤーに新しいXYスケールオブジェクトを追加
A,addline,グラフレイヤーに垂直または水平線を描画
A,addsheet,ワークシート/マトリックスブックにシートを追加
A,addtool_cluster,プロット上に矩形/円を配置して基本統計を計算
A,addtool_curve_deriv,プロット上に矩形を配置して微分を実行
A,addtool_curve_fft,プロット上に矩形を配置してFFTを実行
A,addtool_curve_integ,プロット上に矩形を配置して積分を実行
A,addtool_curve_interp,プロット上に矩形を配置して補間を実行
A,addtool_curve_intersect,プロット上に矩形を配置して2曲線の交点を計算
A,addtool_curve_stats,プロット上に矩形を配置して範囲内の基本統計を計算
A,addtool_integ2,等高線上の領域を選択してデータ表面の2D積分を実行
A,addtool_quickfit,プロット上に矩形を配置してクイックフィッティングを実行
A,addtool_quickpeaks,プロット上に矩形を配置してピーク検出・ベースライン減算・積分を実行
A,addtool_rise_time (Pro),プロット上に矩形を配置して立ち上がり/立ち下がり時間を解析
A,addtool_sigmoidal_fit,プロット上に矩形を配置してシグモイド曲線フィッティングを実行
A,assays,アッセイテンプレート用のデータ形式とフィッティング関数を設定
A,avecurves,複数の曲線を平均化または連結
A,averagexy,複数の曲線を平均化または連結（出力のカスタマイズオプション付き）
A,axis_scrollbar,グラフにスクロールバーオブジェクトを追加してズーム・パンを容易化
A,axis_scroller,下部X軸に逆三角形のペアを追加してスケール変更を容易化
B,batchProcess,解析テンプレートを使用してバッチ処理を実行
B,blauto,指定したしきい値を使用してベースラインアンカーポイントを自動作成
B,bspline,3次Bスプライン補間・外挿を実行
C,cd,作業ディレクトリの変更または現在のパスを表示
C,cdset,作業ディレクトリにインデックスを割り当て、または全インデックスとパスをリスト表示
C,changeUFF,ユーザーファイルフォルダー（UFF）のパスを変更
C,cloneimport,アクティブブックのインポート設定を複製して複数ファイルを一括インポート
C,clrAllData,インポートデータをクリアして解析テンプレートプロジェクト用にリセット
C,cmpfile,2つのバイナリファイルを比較
C,cnormalize,XYデータまたはグラフ内のデータプロットを正規化（基準点選択オプション付き）
C,cohere (Pro),2信号間のコヒーレンス解析を実行
C,colcopy,ワークシート列間でデータ・ラベル・書式・マスク状態をコピー
C,coldesig,列のプロット指定（X/Y/Z等）を設定
C,colhide,指定した列を非表示/表示
C,colint,選択したY列のサンプリング間隔を設定
C,coljoinbydesig,プロット指定に基づいてXY列ペアを結合し一つの列グループに統合
C,colmask,条件に基づいてセルをマスク（解析から除外）
C,colmove,選択した列を指定位置に移動
C,colors,カラーピッカーで画面ピクセル色を取得できるカラーダイアログを開く
C,colreverse,列内の行範囲を逆順に並べ替え
C,colshowx,選択したY列のX列を表示（サンプリング間隔をX列として抽出）
C,colslideshow,指定列に依存する全グラフのスライドショーを表示
C,colsplit,行インデックスのグループ化により1列を複数列に分割
C,colstats,列の統計量（平均・標準偏差等）を計算
C,colswap,2つの選択列の位置を入れ替え
C,conv,2つの信号の畳み込みを計算
C,copydata,数値データをクリップボードにコピー
C,copyimg,OLEを使用せずに画像をクリップボードにコピー
C,copynote,ノートウィンドウの内容をクリップボードにコピー
C,copypic,様々な画像形式・オプションでページを画像としてクリップボードにコピー
C,corr1,2つの信号の1D相互相関を計算
C,corr2 (Pro),2D相互相関を実行
C,corrcoef (Pro),2列以上のピアソン相関係数を計算
C,crosstab (Pro),クロス集計（分割表）分析を実行
C,csetvalue,列の値を数式やスクリプトで設定（「列の値の設定」メニューに相当）
C,customMenu,カスタムメニューエディタダイアログを開く
C,cv2col,画像ウィンドウのデータをワークシート列にエクスポート
C,cv2mat,画像ウィンドウのデータをマトリックスシートにエクスポート
C,cvcrop,画像ウィンドウの画像を指定領域でトリミング
C,cvExport,画像ウィンドウの画像をファイルにエクスポート
C,cvgraymax,グレースケール画像から最大輝度ピクセルの位置を検索
C,cvhistogram,グレースケール画像のピクセル強度分布を新しいワークシートに生成
C,cvmerge,分割されたチャンネル画像をカラー画像に統合
C,cvOpen,画像ファイルを新しい画像ウィンドウにインポート
C,cvPalette,画像にカラーパレット（LUT）を適用
C,cvResize,画像ウィンドウの画像をリサイズ
C,cvroiprofile,画像上の関心領域（ROI）のプロファイルをプロット
C,cvSetXY,画像ウィンドウのXY座標スケールを設定
C,cvsplit,カラー画像をチャンネル別（R/G/B等）に分割
C,cw_evaluate (Pro),ウェーブレット係数を評価・信号を再構築（CWTの逆変換等）
C,cwt (Pro),連続ウェーブレット変換（CWT）を実行
C,cxt,アクティブ曲線のX値を様々なモードでシフト
D,dbEdit,データベース接続用のSQLエディタダイアログを開く
D,dbImport,ワークシートに保存されたクエリを使用してデータベースからデータをインポート
D,dbInfo,データベース接続情報を表示
D,dbPreview,データベースから上位n行をプレビューインポート
D,debug_log,デバッグログファイルを作成（テクニカルサポート送付用）
D,decimate (Pro),N点ごとにデータを間引き、各区間を基本統計値で代表
D,deconv,2信号のデコンボリューションを計算
D,dfilter (Pro),IIRデジタルフィルタを設計・適用
D,dfilterapply,指定係数を使用してIIRフィルタを既存データに適用
D,dfilterfcf (Pro),IIRフィルタ係数を含むMATLAB fcfファイルをインポート・エクスポート
D,differentiate,XYデータの数値微分（導関数）を計算
D,dir,現在の作業ディレクトリ内のスクリプトファイルとX-Functionをリスト表示
D,discfreqs,連続スペクトルから離散周波数成分を特定・抽出
D,discrim (Pro),判別分析および正準判別分析を実行
D,distfit (Pro),データにパラメトリック確率分布をフィット
D,diststats,確率分布の統計量（パーセンタイル・クォンタイル等）を計算
D,dlgChkList,ユーザー選択をワークシートに出力するチェックリストダイアログを表示
D,dlgFile,ファイル選択（Open）ダイアログを開く
D,dlgPath,フォルダ選択ダイアログを開く
D,dlgPickFiles,複数ファイルを選択するためのファイル選択ダイアログを開く
D,dlgRowColGoto,指定した行・列に移動して選択
D,dlgSave,ファイル保存名を指定するSave Asダイアログを開く
D,dlgTheme,ダイアログテーマの選択・管理ダイアログを開く
D,dwt (Pro),離散ウェーブレット変換（DWT）を実行
D,dwt2 (Pro),2D離散ウェーブレット変換を実行
E,envelope (Pro),信号の上包絡線・下包絡線を生成
E,expASC,ワークシートデータをASCIIファイルにエクスポート
E,expExcel,ワークシートデータをExcel形式にエクスポート
E,expG2img,グラフをラスター画像ファイルにエクスポート
E,expG2video,グラフをラスター動画ファイルにエクスポート
E,expGraph,グラフをグラフィックスファイルにエクスポート
E,expImage,アクティブな画像ウィンドウをグラフィックスファイルにエクスポート
E,expm2video,マトリックスオブジェクトを画像スタックとしてエクスポート
E,expMatASC,マトリックスデータをASCIIファイルにエクスポート
E,expMatNC,マトリックスデータをNetCDFファイルにエクスポート
E,expNITDM,ワークブックデータをNational Instruments TDM/TDMSファイルにエクスポート
E,expPDFw,ワークシートを複数ページPDFにエクスポート
E,expSHP,データをShapefile（GIS形式）にエクスポート
E,expSQLite,ワークシートをSQLiteデータベースファイルにエクスポート
E,expWAV,データをMicrosoft PCM WAVオーディオファイルにエクスポート
E,expWks,アクティブシートをラスター/ベクター画像ファイルにエクスポート
E,expXLS,ワークブックをExcel（XLS）形式にエクスポート
E,expXML,アクティブシートをXMLファイルにエクスポート
F,fft1,高速フーリエ変換（FFT）を実行してスペクトルを計算
F,fft2 (Pro),2D高速フーリエ変換を実行
F,fft_filter2,2DFFTフィルタリングを実行
F,fft_filters,FFTフィルタリング（ローパス/ハイパス/バンドパス等）を実行
F,filelog,文字列をログファイルに追記出力
F,files2dc,複数ファイルへのデータコネクターを作成
F,filltext,ワークシート範囲のセルをランダムな文字列で埋める
F,filter2,マトリックスにカスタムカーネルフィルタを適用
F,FindApp,インストール済みOrigin Appを検索・起動
F,findBase,ピーク解析に適したベースライン候補領域を検索
F,findFiles,指定パスからファイルを検索して一覧取得
F,findFolders,指定パスからフォルダを検索して一覧取得
F,findrelated,選択データに関連するグラフ・解析結果・ワークシートを検索
F,findreplace,検索・置換ダイアログを開く
F,fitcmpdata (Pro),指定フィッティングモデルで2つのデータセットを統計的に比較
F,fitcmpmodel (Pro),1つのデータセットに対して2つのフィッティングモデルを比較
F,fitexp,指数関数で非線形曲線フィッティングを実行
F,fitLR,線形回帰（最小二乗法）を実行
F,fitmatrix (Pro),マトリックスデータに非線形フィッティングを実行
F,fitMR,重回帰分析を実行
F,fitpeaks,グラフ上でピーク中心を指定してマルチピークフィッティングを実行
F,fitpoly,多項式回帰を実行
F,fitsigmoidal,シグモイド関数で曲線フィッティングを実行
F,fitsurface (Pro),XYZデータに非線形サーフェスフィッティングを実行
F,freqcounts,データの頻度分布（度数集計）を計算
